Dim,Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
10,13,PWO,1569.55520419647,11015.084036809,13603.5991508043,9905.10985271043,3.24052290799989e-18,1
10,14,iPWO,1400,1400,1400.40968902375,0.533077877990532,NaN,0
10,14,noECR,1400,1400,1400.40968902375,0.533077877990532,1,0
10,14,noOED,1400,1400.0002541394,1400.4721403397,0.540036029413528,0.0162197641470727,1
10,14,noNAS,1400,1400.99495905709,1400.60477906587,0.599570959798373,0.111843258951044,0
10,14,PWO,1447.01926869349,1536.49467114165,2033.05019988533,1545.22807960786,9.73406633792014e-19,1
10,15,iPWO,1500.00005628244,1500.0344731344,1500.22241044839,0.3621919294151,NaN,0
10,15,noECR,1500.00005628244,1500.03447313155,1500.22241044859,0.362191929315093,0.986649735156553,0
10,15,noOED,1500.00000000472,1500.00792058099,1500.19431264619,0.350072003282727,0.236171998075635,0
10,15,noNAS,1500.00000679412,1500.05030354254,1500.18047742215,0.267561825403338,0.904111847365371,0
10,15,PWO,1762.77046502533,6424.519025195,6137.64075299272,1286.5907031363,3.30368150166619e-18,1
10,16,iPWO,1600.00215736032,1600.4371434891,1600.43006972702,0.232828141253444,NaN,0
10,16,noECR,1600.00215736032,1600.4371434891,1600.43006972702,0.232828141253444,1,0
10,16,noOED,1600.04293343174,1600.38525701655,1600.40703077597,0.21810266278996,0.592361822663044,0
10,16,noNAS,1600.01930896121,1600.42292817104,1600.448371015,0.265778400335642,0.835639752455574,0
10,16,PWO,1648.00304918256,1992.23127575368,2010.54172611706,178.413386383725,3.30368150166619e-18,1
10,17,iPWO,1700,1700.01972934412,1700.18680502338,0.275158488011304,NaN,0
10,17,noECR,1700,1700.01972934412,1700.18680502338,0.275158488011299,1,0
10,17,noOED,1700,1700.01972934413,1700.13495092794,0.178127795210146,0.491609706022266,0
10,17,noNAS,1700,1700.01972958121,1700.1667009197,0.19011973206941,0.778230147919149,0
10,17,PWO,1746.50571972139,1859.48216002404,1886.89407881901,104.715432455313,2.88055554253429e-18,1
10,18,iPWO,1800.00002310026,1800.30926536356,1800.67607102739,2.76778443997335,NaN,0
10,18,noECR,1800.00002310033,1800.30926536356,1800.67607102735,2.7677844400194,0.986649810647458,0
10,18,noOED,1800.00010817708,1800.34003836506,1800.35978336395,0.311820214222709,0.278267891374734,0
10,18,noNAS,1800.00009207583,1800.27482741086,1800.28852384913,0.269767331700669,0.702843905139844,0
10,18,PWO,2121.04759226293,14916.6272721557,17587.7478040474,13190.4109240173,3.30368150166619e-18,1
10,19,iPWO,1900,1900.00992043415,1900.01165079044,0.0123916735957939,NaN,0
10,19,noECR,1900,1900.00992043415,1900.01184312111,0.0124403064544798,0.93820812914937,0
10,19,noOED,1900,1900,1900.00600376803,0.00991475633476536,0.146148811656096,0
10,19,noNAS,1900,1900,1900.0101982392,0.0291343528239844,0.0459906689204605,0
10,19,PWO,1935.34119131422,2599.99195747825,14072.6720328899,42959.4346140188,2.05932836014531e-18,1
10,20,iPWO,2000,2000,2000.05508939811,0.120190876919634,NaN,0
10,20,noECR,2000,2000,2000.06121044235,0.125174980456792,0.804049121919043,0
10,20,noOED,2000,2000,2000.07345253082,0.133736061892798,0.467689833520262,0
10,20,noNAS,2000,2000,2000.08071944347,0.180674729087539,0.592892770773017,0
